Date,Province,District,Ga.Pa/Na.Pa.,Ward,Protected Area,Confidence,Lat,Lon
06/07/2023,far west,Kailali,Lamkichuha,3,,87,28.62499,81.19991
06/07/2023,far west,Kailali,Mohanyal,1,,43,28.84149,81.04551
06/07/2023,far west,Kailali,Mohanyal,1,,73,28.84154,81.05756
06/08/2023,far west,Kailali,Mohanyal,5,,50,28.94957,80.87981
06/08/2023,Lumbini,Arghakhanchi,Chhatradev,8,,56,28.01996,83.179
06/08/2023,Lumbini,Arghakhanchi,Sandhikharka,11,,43,28.0178,83.15774
06/08/2023,Lumbini,Arghakhanchi,Chhatradev,8,,44,28.02183,83.17295
06/08/2023,Lumbini,left,Rapti Sonari,2,Banke National Park,62,28.18426,81.92972
06/08/2023,far west,Kailali,Mohanyal,5,,58,28.77839,80.82455
06/08/2023,far west,Kailali,Gauriganga,7,,66,28.77472,80.83293
06/08/2023,far west,Kailali,Mohanyal,5,,59,28.77314,80.81842
06/08/2023,Karnali,Dailekh,Aathabis,1,,53,28.94211,81.45165
06/08/2023,Karnali,Dailekh,Aathabis,1,,76,28.95306,81.44913
06/08/2023,far west,Bajhang,JayaPrithivi,7,,6,29.51702,81.13071
06/08/2023,far west,Kailali,Mohanyal,4,,35,28.88214,80.9303
06/08/2023,Lumbini,Palpa,Tansen,13,,61,27.91511,83.49421
06/08/2023,Lumbini,Arghakhanchi,Bhumekasthan,5,,55,28.00945,83.00134
06/08/2023,Lumbini,Bardia,Bardiya National Park,99,Bardia National Park,85,28.34974,81.62643
06/08/2023,Karnali,Dailekh,Aathabis,1,,72,28.96208,81.45607
06/08/2023,Karnali,Dailekh,Aathabis,1,,100,28.9608,81.44633
06/08/2023,Karnali,Dailekh,Aathabis,2,,52,28.97106,81.45468
06/08/2023,far west,Dottie,Badikedar,2,,77,28.95145,80.82961
06/08/2023,Karnali,Dailekh,Aathabis,2,,86,28.96601,81.45303
06/08/2023,Karnali,Dailekh,Aathabis,1,,25,28.96399,81.44471
06/08/2023,Lumbini,Palpa,Rainadevi Chhahara,3,,44,27.9031,83.34999
06/08/2023,far west,Dottie,K I Singh,7,,62,29.2219,80.94275
06/09/2023,Karnali,Dailekh,Aathabis,2,,59,28.96372,81.45462
06/09/2023,Lumbini,Rolpa,Runtigadi,4,,64,28.16129,82.60933
06/09/2023,Bagmati,Sindhuli,Phikkal,5,,35,27.19172,86.30875
06/09/2023,far west,Dadeldhura,Nawadurga,3,,53,29.3336,80.69378
06/10/2023,Karnali,Salyan,Tribeni,5,,69,28.31137,82.32532
06/10/2023,Karnali,Surkhet,Chingad,2,,52,28.62313,81.89513
06/10/2023,far west,Kailali,Mohanyal,4,,42,28.87293,80.93314
06/10/2023,Bagmati,Sindhuli,Golanjor,6,,17,27.29533,86.03541
06/10/2023,Karnali,Dailekh,Aathabis,3,,79,29.01477,81.42426
06/10/2023,far west,Dottie,Jorayal,5,,47,29.10801,80.75428
06/10/2023,far west,Dottie,Dipayal Silgadi,7,,54,29.25096,80.98711
06/10/2023,Karnali,Salyan,Kumakhmalika,2,,60,28.56705,82.14389
06/10/2023,Karnali,Surkhet,Chingad,2,,75,28.61772,81.89393
06/10/2023,Karnali,Surkhet,Chingad,2,,18,28.61621,81.88236
06/10/2023,Karnali,Surkhet,Chingad,2,,64,28.62696,81.89273
06/10/2023,Lumbini,Bardia,Bardiya National Park,99,Bardia National Park,74,28.57823,81.31712
06/10/2023,Lumbini,Bardia,Bardiya National Park,99,Bardia National Park,68,28.58725,81.31551
06/10/2023,far west,Kanchanpur,Krishnapur,8,,62,28.77422,80.46896
06/10/2023,far west,Kailali,Mohanyal,4,,20,28.85991,80.95437
06/10/2023,far west,Kailali,Mohanyal,4,,29,28.86609,80.93251
06/10/2023,far west,Kailali,Mohanyal,4,,49,28.86468,80.92223
06/10/2023,Karnali,Surkhet,Chaukune,3,,76,28.94085,81.14228
06/10/2023,far west,Kanchanpur,Shuklaphanta,1,Shuklaphanta National Nikunj Intermediate Area,29,28.85416,80.38621
06/10/2023,Karnali,Dailekh,Aathabis,3,,79,29.00566,81.42567
06/10/2023,Karnali,Surkhet,Chingad,2,,51,28.62618,81.88436
06/10/2023,Karnali,Surkhet,Chingad,2,,57,28.62786,81.89485
06/10/2023,Bagmati,Makwanpur,Bhimphedi,2,,47,27.53686,85.0664
06/10/2023,Karnali,Dailekh,Aathabis,3,,68,28.98689,81.42956
06/10/2023,Lumbini,Palpa,Rampur,3,,58,27.83581,83.93044
06/11/2023,Lumbini,Pyuthan,Mallarani,5,,74,28.05266,82.8471
06/12/2023,Lumbini,Bardia,Bardiya National Park,99,Bardia National Park,67,28.57597,81.31089
06/12/2023,Lumbini,Bardia,Bardiya National Park,99,Bardia National Park,34,28.57454,81.32092
06/12/2023,Lumbini,Bardia,Bardiya National Park,99,Bardia National Park,48,28.5657,81.31934
06/12/2023,Lumbini,Pyuthan,Sworgadwary,4,,57,28.1317,82.69
06/12/2023,Lumbini,left,Baijanath,4,Banke National Nikunj Central Area,73,28.25134,81.70491
06/12/2023,Lumbini,Dang,Banglachuli,3,,73,28.05475,82.65479
06/12/2023,Lumbini,Dang,Babai,1,Banke National Nikunj Central Area,44,28.16783,82.0267
06/12/2023,Karnali,Dailekh,Aathabis,3,,48,28.99478,81.41775
06/12/2023,Lumbini,Pyuthan,Mallarani,5,,86,28.05283,82.85375
06/12/2023,Lumbini,Pyuthan,Sworgadwary,4,,84,28.12847,82.68675
06/12/2023,Karnali,Dailekh,Gurans,6,,67,28.67049,81.71823
06/12/2023,Karnali,Dailekh,Gurans,6,,49,28.67955,81.71579
06/12/2023,Lumbini,Dang,Banglachuli,3,,60,28.05288,82.6593
6/13/2023,far west,Kailali,Mohanyal,5,,39,28.87804,80.85979
6/13/2023,Lumbini,Bardia,Bardiya National Park,99,Bardia National Park,75,28.38119,81.62766
6/13/2023,Lumbini,Bardia,Bardiya National Park,99,Bardia National Park,78,28.3796,81.63786
6/13/2023,Karnali,Surkhet,Barahtal,2,,78,28.60789,81.47537
6/14/2023,Karnali,Surkhet,Barahtal,2,,69,28.6076,81.4758
6/14/2023,Karnali,Salyan,Sharada,11,,66,28.32722,82.15228
6/15/2023,far west,Kailali,Chure,5,,47,28.95954,80.60993
6/15/2023,Lumbini,Bardia,Bardiya National Park,99,Bardia National Park,53,28.5405,81.31118
6/15/2023,Lumbini,Pyuthan,Mallarani,5,,74,28.06448,82.84653
6/15/2023,Lumbini,Bardia,Bardiya National Park,99,Bardia National Park,78,28.66451,81.30129
6/15/2023,far west,Kailali,Lamkichuha,3,,80,28.60911,81.18085
6/15/2023,far west,Kailali,Lamkichuha,3,,83,28.61064,81.19113
6/15/2023,Lumbini,Pyuthan,Mallarani,5,,99,28.0631,82.83659
6/15/2023,Karnali,Salyan,Bagchaur,3,,100,28.51138,82.27929
6/15/2023,Karnali,Surkhet,Barahtal,2,,75,28.61441,81.46387
6/15/2023,Karnali,Dailekh,Gurans,6,,85,28.66916,81.71407
6/15/2023,Karnali,Dailekh,Bhairabi,3,,98,28.90068,81.58829
6/15/2023,far west,Kailali,Ghodaghodi,9,,75,28.76649,80.93565
6/17/2023,far west,Kailali,Chure,4,,68,28.8964,80.7924
6/17/2023,far west,Kailali,Ghodaghodi,4,,46,28.70283,80.93104
6/17/2023,Karnali,Surkhet,Birendranagar,11,,80,28.52848,81.66573
6/17/2023,Karnali,Surkhet,Birendranagar,11,,78,28.51947,81.66753
6/17/2023,Karnali,Surkhet,Lekbeshi,9,,58,28.52088,81.67793
6/17/2023,Lumbini,left,Rapti Sonari,8,Banke National Park,78,28.19962,81.82849
6/17/2023,Karnali,Surkhet,Chingad,2,,48,28.58319,81.8702
6/17/2023,Karnali,Salyan,Sharada,9,,82,28.35946,82.05843
6/17/2023,Karnali,Jajarkot,Bheri,11,,51,28.66823,82.17123
6/22/2023,Lumbini,left,Duduwa,3,,39,28.05024,81.73456
6/27/2023,Bagmati,Sindhupalchok,Indrawati,5,,18,27.79419,85.59321
8/26/2023,Karnali,attack,Namkha,6,,93,30.17188,81.48034
9/18/2023,Madhesh,saptari,Hanumannagar Kankalini,13,,0,26.44788,86.80537
9/18/2023,Madhesh,saptari,Hanumannagar Kankalini,13,,35,26.49281,86.88033
10/15/2023,Karnali,Pakshami Rukum,Aathbiskot,6,,37,28.89351,82.64487
11/08/2023,Karnali,Jumla,Tatopani,8,,70,29.04411,82.0262
11/09/2023,Karnali,attack,Kharpunath,5,,16,29.91299,81.98393
11/10/2023,Karnali,mung bean,Mugum Karmarong,1,She-Foksundo National Nikunj,82,29.62025,82.686
11/10/2023,Karnali,Dolpa,Mudkechula,9,,22,29.09152,82.41786
11/10/2023,Karnali,Dolpa,Mudkechula,9,,52,29.0937,82.4128
11/17/2023,far west,Bajhang,Kanda,4,,24,29.85101,81.34564
11/19/2023,Karnali,Jajarkot,Barekot,4,,65,29.10305,82.3427
11/19/2023,far west,bajura,Badimalika,8,,24,29.40329,81.55763
11/20/2023,far west,Bajhang,Talkot,2,,43,29.75544,81.17899
11/21/2023,far west,Bajhang,Talkot,2,,81,29.75412,81.18396
11/22/2023,Gandaki,Kaski,Madi,1,Annapurna Conservation Area,66,28.42484,84.05679
11/22/2023,far west,Darchula,Byas,1,Api Nampa Conservation Area,65,30.17452,80.87514
11/22/2023,far west,Darchula,Byas,1,Api Nampa Conservation Area,43,30.16864,80.86771
11/23/2023,Karnali,mung bean,Mugum Karmarong,1,She-Foksundo National Nikunj,58,29.61341,82.67798
11/24/2023,far west,Darchula,Byas,1,Api Nampa Conservation Area,63,30.17971,80.88256
11/25/2023,Gandaki,Gurkha,Chum Nubri,3,Manaslu Conservation Area,31,28.44589,84.77524
11/26/2023,Gandaki,Lamjung,Dordi,8,,39,28.29658,84.48115
11/26/2023,Gandaki,Lamjung,Dordi,8,,66,28.29801,84.49117
11/26/2023,Gandaki,Gurkha,Dharche,4,,54,28.23899,84.78425
11/26/2023,Bagmati,Dhading,Rubi Valley,5,,30,28.24359,85.02576
11/29/2023,far west,Bajhang,Talkot,3,,66,29.67123,81.30872
12/03/2023,Gandaki,Kaski,Annapurna,11,Annapurna Conservation Area,0,28.54211,83.92343
12/03/2023,Gandaki,Myagdi,Annapurna,5,Annapurna Conservation Area,73,28.46036,83.73975
12/03/2023,Gandaki,Kaski,Annapurna,11,Annapurna Conservation Area,19,28.5423,83.90845
12/03/2023,far west,Kanchanpur,Shuklaphanta National Park,99,Shuklaphanta National Park,83,28.82701,80.16148
12/03/2023,far west,Kanchanpur,Shuklaphanta National Park,99,Shuklaphanta National Park,92,28.82412,80.14576
12/03/2023,far west,bajura,Badimalika,6,,62,29.38254,81.54355
12/04/2023,Koshi,Solukhumbu,Dudhkoshi,7,,35,27.57655,86.76157
12/04/2023,Koshi,Solukhumbu,Dudhkoshi,7,,80,27.56622,86.76391
12/06/2023,Karnali,mung bean,Mugum Karmarong,7,,50,29.58624,82.35719
12/08/2023,far west,Darchula,Byas,2,Api Nampa Conservation Area,46,29.9385,80.73064
12/08/2023,Bagmati,Chitwan,Chitawan National Park,99,Chitwan National Park,66,27.55931,84.48846
12/09/2023,Bagmati,dolakha,Bigu,1,Gourishankar Conservation Area,10,27.86626,86.18708
12/09/2023,Karnali,attack,Chankheli,5,,54,29.81469,82.08227
12/11/2023,Gandaki,Gurkha,Chum Nubri,3,Manaslu Conservation Area,60,28.39274,84.9631
12/11/2023,Karnali,Calicut,Mahawai,2,,29,29.04756,81.92671
12/13/2023,far west,Dadeldhura,Amargadhi,5,,28,29.31833,80.58546
12/13/2023,Lumbini,Bardia,Bardiya National Park,99,Bardia National Park,50,28.49751,81.24957
12/13/2023,Lumbini,Bardia,Bardiya National Park,99,Bardia National Park,49,28.48852,81.25115
12/15/2023,Lumbini,Pyuthan,Sworgadwary,8,,53,28.14553,82.78096
12/17/2023,Gandaki,Gurkha,Chum Nubri,3,Manaslu Conservation Area,25,28.45427,84.85004
12/17/2023,Koshi,Jhapa,Bhadrapur,5,,60,26.54319,88.10279
12/17/2023,Gandaki,Gurkha,Chum Nubri,3,Manaslu Conservation Area,59,28.36397,84.92103
12/17/2023,far west,Bajhang,Talkot,3,,65,29.68569,81.32936
12/18/2023,far west,bajura,Tribeni,6,,78,29.32437,81.44611
12/18/2023,far west,Bajhang,Talkot,2,,17,29.70313,81.22733
12/18/2023,far west,Bajhang,Talkot,2,,25,29.71319,81.22369
12/20/2023,Karnali,attack,Tanjakot,1,,67,29.78941,81.76361
12/20/2023,Karnali,attack,Tanjakot,1,,91,29.78803,81.75368
12/20/2023,Karnali,attack,Tanjakot,1,,76,29.79688,81.75191
12/22/2023,Karnali,attack,Tanjakot,1,,59,29.7373,81.74329
12/22/2023,far west,Bajhang,Surma,1,,41,29.69622,81.14021
12/23/2023,Koshi,Solukhumbu,Mahakulung,4,,50,27.45609,86.93178
12/24/2023,Koshi,Sankhuvasabha,Khandbari,5,,31,27.44268,87.21204
12/25/2023,Gandaki,Gurkha,Dharche,5,,41,28.32035,84.79471
12/25/2023,Lumbini,Bardia,Geruwa,1,,94,28.567,81.21902
12/25/2023,Karnali,attack,Chankheli,1,,76,29.67538,82.14359
12/26/2023,far west,Bajhang,Talkot,3,,29,29.67707,81.31216
12/26/2023,far west,Bajhang,Talkot,3,,14,29.67542,81.31725
12/27/2023,Lumbini,Bardia,Bardiya National Park,99,Bardia National Park,65,28.48904,81.23772
12/27/2023,Karnali,mung bean,Khatyad,10,,46,29.56133,81.84246
12/27/2023,Karnali,mung bean,Mugum Karmarong,7,,50,29.67318,82.29748
12/27/2023,Karnali,mung bean,Mugum Karmarong,7,,37,29.67174,82.28744
12/27/2023,far west,Bajhang,Surma,1,,43,29.71408,81.144
12/28/2023,Karnali,Dolpa,Mudkechula,9,,71,29.09276,82.41193
12/28/2023,Karnali,Jajarkot,Barekot,6,,60,29.08856,82.40451
12/28/2023,Gandaki,Gurkha,Dharche,3,,31,28.31793,84.89106
12/28/2023,Karnali,Jumla,Kanakasundari,1,Rara National Nikunj Intermediate Area,74,29.41191,82.12199
12/28/2023,Karnali,Jumla,Kanakasundari,1,Rara National Nikunj Intermediate Area,79,29.42264,82.11204
12/29/2023,Karnali,Jumla,Kanakasundari,1,Rara National Nikunj Intermediate Area,55,29.41913,82.12141
12/29/2023,Madhesh,saptari,Koshi Tappu,99,Koshi Tappu Wildlife Sanctuary,70,26.65099,86.98138
12/30/2023,Karnali,attack,Chankheli,3,,34,29.77113,82.13448
12/30/2023,Karnali,attack,Namkha,4,,49,30.10457,81.45805
12/31/2023,far west,Bajhang,Talkot,2,,22,29.66276,81.25489
01/01/2024,Gandaki,Lamjung,Marsyangdi,5,,47,28.35518,84.41503
01/01/2024,far west,Kanchanpur,Shuklaphanta National Park,99,Shuklaphanta National Park,58,28.7833,80.21371
01/01/2024,Karnali,mung bean,Mugum Karmarong,7,,53,29.63931,82.28776
01/01/2024,far west,Bajhang,Talkot,2,,58,29.70501,81.22285
01/01/2024,far west,Darchula,Dunhu,5,Api Nampa Conservation Area,62,29.85278,80.61615
01/02/2024,Gandaki,Gurkha,Chum Nubri,3,Manaslu Conservation Area,39,28.37598,84.86359
01/03/2024,far west,bajura,Pandav Gupha,4,,30,29.35325,81.6648
01/03/2024,Karnali,attack,Namkha,5,,52,30.08996,81.35375
01/05/2024,far west,bajura,Himali,3,,74,29.75319,81.71465
01/05/2024,far west,bajura,Himali,3,,83,29.75171,81.72501
01/05/2024,far west,Darchula,Byas,3,Api Nampa Conservation Area,24,29.87118,80.70415
01/05/2024,Koshi,Dhankuta,Pakhribas,8,,75,27.01392,87.20854
01/05/2024,Koshi,Dhankuta,Pakhribas,8,,81,27.01236,87.19837
01/06/2024,Madhesh,saptari,Koshi Tappu,99,Koshi Tappu Wildlife Sanctuary,55,26.63777,86.97752
01/06/2024,Madhesh,saptari,Koshi Tappu,99,Koshi Tappu Wildlife Sanctuary,68,26.63485,86.95467
01/06/2024,Karnali,Dolpa,Tripurasundari,6,,55,29.00735,82.69077
01/06/2024,Karnali,Calicut,Khandachakra,11,,71,29.17898,81.67816
01/06/2024,Karnali,mung bean,Mugum Karmarong,6,,53,29.55878,82.41637
01/08/2024,far west,bajura,Himali,3,,82,29.76393,81.65647
01/08/2024,far west,Bajhang,Kanda,4,,61,29.85011,81.28948
01/08/2024,Lumbini,Arghakhanchi,Bhumekasthan,6,,70,27.98464,83.05054
01/08/2024,Karnali,Calicut,Tilagufa,9,,31,29.11759,81.90208
01/08/2024,Karnali,Jumla,Patrasi,6,,23,29.39224,82.22887
01/08/2024,Karnali,attack,Sarkegad,3,,55,29.78824,81.83127
01/08/2024,far west,bajura,Himali,3,,88,29.76536,81.6667
01/09/2024,Karnali,Jumla,Tatopani,4,,60,29.12266,82.20301
01/09/2024,Karnali,Dolpa,Tripurasundari,5,,93,29.00687,82.62808
01/09/2024,Karnali,Dolpa,Tripurasundari,5,,90,29.00828,82.62053
01/09/2024,Karnali,Dolpa,Mudkechula,1,,61,29.00473,82.59193
01/11/2024,Gandaki,Gurkha,Chum Nubri,3,Manaslu Conservation Area,80,28.36407,84.87328
01/11/2024,Gandaki,Gurkha,Chum Nubri,3,Manaslu Conservation Area,80,28.36206,84.86852
01/11/2024,Bagmati,Rasua,Naukunda,2,Langtang National Park,28,28.05517,85.35499
01/11/2024,Bagmati,Sindhupalchok,Panchpokhari Thangpal,99,Langtang National Park,88,28.09611,85.68774
01/11/2024,Bagmati,Sindhupalchok,Panchpokhari Thangpal,99,Langtang National Park,70,28.09347,85.65142
01/11/2024,Bagmati,Rasua,Naukunda,2,Langtang National Park,43,28.0458,85.35553
01/11/2024,Bagmati,Sindhupalchok,Panchpokhari Thangpal,99,Langtang National Park,88,28.10081,85.68368
01/11/2024,Bagmati,Sindhupalchok,Panchpokhari Thangpal,99,Langtang National Park,56,28.09796,85.64147
01/11/2024,Bagmati,Dhading,Rubi Valley,5,,74,28.24541,85.06748
01/11/2024,Bagmati,Dhading,Rubi Valley,5,,72,28.23778,85.06725
01/11/2024,Gandaki,Gurkha,Dharche,1,,83,28.27754,84.9552
01/11/2024,Karnali,Dailekh,Naumule,2,,58,28.98579,81.738
01/11/2024,Karnali,Jajarkot,Barekot,4,,42,29.10483,82.35007
01/12/2024,Karnali,Jajarkot,Tribeni Nalagad,13,,44,28.93768,82.48934
01/12/2024,Karnali,Jajarkot,Barekot,6,,41,28.98706,82.32767
01/12/2024,Karnali,Jajarkot,Barekot,6,,42,28.98832,82.31813
01/12/2024,far west,Bajhang,Talkot,7,,28,29.66249,81.38966
01/12/2024,Bagmati,Chitwan,Chitawan National Park,99,Chitwan National Park,60,27.54351,84.20056
01/12/2024,Bagmati,Chitwan,Chitawan National Park,99,Chitwan National Park,46,27.54364,84.19547
01/12/2024,Bagmati,Dhading,Khaniyabash,2,,43,28.10373,85.10079
01/12/2024,Gandaki,Lamjung,Marsyangdi,6,,32,28.40656,84.47819
01/12/2024,Karnali,Calicut,Mahawai,2,,93,29.03328,81.90287
01/12/2024,Karnali,Calicut,Mahawai,2,,97,29.02953,81.88422
01/12/2024,Karnali,Calicut,Mahawai,2,,26,29.03453,81.89938
1/13/2024,far west,Darchula,Mahakali,2,Api Nampa Conservation Area,76,29.82508,80.62843
1/13/2024,Lumbini,Arghakhanchi,Panini,7,,48,27.91154,83.184
1/13/2024,Karnali,mung bean,Chhayanath Rara,12,,79,29.49653,82.28672
1/13/2024,Karnali,mung bean,Chhayanath Rara,12,,86,29.49536,82.27653
1/13/2024,Karnali,mung bean,Chhayanath Rara,12,,65,29.50537,82.27457
1/13/2024,Karnali,mung bean,Soru,7,,30,29.64237,82.05578
1/13/2024,Gandaki,Myagdi,Raghuganga,7,,61,28.49718,83.56844
1/13/2024,Karnali,Calicut,Mahawai,2,,48,29.03491,81.89407
1/13/2024,Karnali,Calicut,Mahawai,2,,25,29.03346,81.88261
1/14/2024,Koshi,Bhojpur,Ramprasad Rai,5,,62,27.07497,87.1183
1/14/2024,Karnali,Dolpa,Jagadulla,0,She-Foksundo National Nikunj Intermediate Area,84,29.13088,82.62283
1/14/2024,Karnali,Dolpa,Jagadulla,0,She-Foksundo National Nikunj Intermediate Area,84,29.12561,82.61525
1/14/2024,Bagmati,dolakha,Bigu,1,Gourishankar Conservation Area,100,28.07233,86.15157
1/14/2024,Bagmati,dolakha,Bigu,1,Gourishankar Conservation Area,100,28.08513,86.15078
1/14/2024,Bagmati,dolakha,Bigu,1,Gourishankar Conservation Area,100,28.08113,86.13042
1/14/2024,Bagmati,dolakha,Bigu,1,Gourishankar Conservation Area,100,28.0732,86.147
1/15/2024,Koshi,Jhapa,Kankai,4,,61,26.6257,87.86176
1/15/2024,Koshi,Jhapa,Shivasataxi,9,,60,26.62762,87.85602
1/15/2024,Karnali,Dolpa,Jagadulla,0,She-Foksundo National Nikunj Intermediate Area,56,29.13478,82.63004
1/15/2024,Karnali,Calicut,Mahawai,2,,64,29.02551,81.88727
1/15/2024,Karnali,Jumla,Patrasi,4,,37,29.40847,82.28485
1/15/2024,far west,bajura,Himali,3,,49,29.7562,81.65064
1/15/2024,far west,bajura,Himali,3,,61,29.75469,81.64075
1/15/2024,far west,bajura,Himali,3,,56,29.76355,81.6394
1/20/2024,Bagmati,Chitwan,Chitawan National Park,99,Chitwan National Park,64,27.5322,84.56091
1/20/2024,far west,bajura,Badimalika,1,,72,29.42878,81.43517
1/22/2024,far west,bajura,Himali,3,,34,29.75483,81.71819
1/27/2024,Karnali,Calicut,Khandachakra,11,,45,29.18418,81.644
1/27/2024,Karnali,Pakshami Rukum,Aathbiskot,2,,32,28.80532,82.52702
1/29/2024,Karnali,Jumla,Tatopani,8,,61,29.10676,82.11922
1/29/2024,Bagmati,Chitwan,Chitawan National Park,99,Chitwan National Park,54,27.47567,84.69379
1/29/2024,Bagmati,Makwanpur,Chitawan National Park,99,Chitwan National Park,42,27.55912,84.69147
1/29/2024,Bagmati,Chitwan,Chitawan National Park,99,Chitwan National Park,65,27.55599,84.49158
1/29/2024,Karnali,Calicut,Raskot,9,,13,29.32183,81.63735
1/30/2024,Karnali,Jumla,Tatopani,7,,43,29.18137,82.11134
1/31/2024,Bagmati,Chitwan,Chitawan National Park,99,Chitwan National Park,39,27.54181,84.47057
1/31/2024,far west,Kanchanpur,Shuklaphanta National Park,99,Shuklaphanta National Park,50,28.8866,80.2387
02/03/2024,Gandaki,Gurkha,Dharche,7,,48,28.20669,84.86092
02/03/2024,Bagmati,Chitwan,Chitawan National Park,99,Chitwan National Park,91,27.54911,84.48934
